Company,ID,Title,Difficulty,Acceptance,Frequency,LeetCodeLink
Amazon,937,Reorder Data in Log Files,Easy,54.3%,5.669086974531991,https://leetcode.com/problems/reorder-data-in-log-files
Amazon,200,Number of Islands,Medium,46.8%,5.5619953379074385,https://leetcode.com/problems/number-of-islands
Amazon,1192,Critical Connections in a Network,Hard,48.6%,5.451163696788967,https://leetcode.com/problems/critical-connections-in-a-network
Amazon,1,Two Sum,Easy,45.6%,5.340332055670496,https://leetcode.com/problems/two-sum
Amazon,146,LRU Cache,Medium,33.2%,5.266473618736184,https://leetcode.com/problems/lru-cache
Amazon,973,K Closest Points to Origin,Medium,63.8%,5.155641977617712,https://leetcode.com/problems/k-closest-points-to-origin
Amazon,819,Most Common Word,Easy,44.8%,5.044810336499242,https://leetcode.com/problems/most-common-word
Amazon,138,Copy List with Random Pointer,Medium,36.4%,5.028653490396094,https://leetcode.com/problems/copy-list-with-random-pointer
Amazon,5,Longest Palindromic Substring,Medium,29.5%,4.9178218492776224,https://leetcode.com/problems/longest-palindromic-substring
Amazon,994,Rotting Oranges,Medium,49.2%,4.806990208159151,https://leetcode.com/problems/rotting-oranges
Amazon,42,Trapping Rain Water,Hard,48.9%,4.697248826330039,https://leetcode.com/problems/trapping-rain-water
Amazon,23,Merge k Sorted Lists,Hard,40.2%,4.599324597310145,https://leetcode.com/problems/merge-k-sorted-lists
Amazon,763,Partition Labels,Medium,76.1%,4.548324962256519,https://leetcode.com/problems/partition-labels
Amazon,2,Add Two Numbers,Medium,33.9%,4.4374933211380485,https://leetcode.com/problems/add-two-numbers
Amazon,20,Valid Parentheses,Easy,39.0%,4.362623996011495,https://leetcode.com/problems/valid-parentheses
Amazon,21,Merge Two Sorted Lists,Easy,53.5%,4.322317225718424,https://leetcode.com/problems/merge-two-sorted-lists
Amazon,127,Word Ladder,Medium,29.6%,4.310600785424381,https://leetcode.com/problems/word-ladder
Amazon,295,Find Median from Data Stream,Hard,44.3%,4.2919882291467175,https://leetcode.com/problems/find-median-from-data-stream
Amazon,297,Serialize and Deserialize Binary Tree,Hard,47.5%,4.29109371663071,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
Amazon,692,Top K Frequent Words,Medium,51.8%,4.255293916882421,https://leetcode.com/problems/top-k-frequent-words
Amazon,572,Subtree of Another Tree,Easy,44.1%,4.159077466360555,https://leetcode.com/problems/subtree-of-another-tree
Amazon,240,Search a 2D Matrix II,Medium,43.2%,4.048245825242085,https://leetcode.com/problems/search-a-2d-matrix-ii
Amazon,126,Word Ladder II,Hard,22.1%,4.024013333632092,https://leetcode.com/problems/word-ladder-ii
Amazon,472,Concatenated Words,Hard,43.7%,3.9215983336727347,https://leetcode.com/problems/concatenated-words
Amazon,642,Design Search Autocomplete System,Hard,44.7%,3.8667846655909375,https://leetcode.com/problems/design-search-autocomplete-system
Amazon,957,Prison Cells After N Days,Medium,40.7%,3.8492305425836575,https://leetcode.com/problems/prison-cells-after-n-days
Amazon,121,Best Time to Buy and Sell Stock,Easy,50.5%,3.8154100052812234,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
Amazon,273,Integer to English Words,Hard,27.1%,3.751742974770793,https://leetcode.com/problems/integer-to-english-words
Amazon,4,Median of Two Sorted Arrays,Hard,29.6%,3.7294575736470525,https://leetcode.com/problems/median-of-two-sorted-arrays
Amazon,3,Longest Substring Without Repeating Characters,Medium,30.4%,3.673122324413377,https://leetcode.com/problems/longest-substring-without-repeating-characters
Amazon,253,Meeting Rooms II,Medium,45.7%,3.650908416088221,https://leetcode.com/problems/meeting-rooms-ii
Amazon,17,Letter Combinations of a Phone Number,Medium,46.8%,3.646488617199801,https://leetcode.com/problems/letter-combinations-of-a-phone-number
Amazon,348,Design Tic-Tac-Toe,Medium,54.3%,3.644912199818459,https://leetcode.com/problems/design-tic-tac-toe
Amazon,139,Word Break,Medium,40.1%,3.568929344215992,https://leetcode.com/problems/word-break
Amazon,155,Min Stack,Easy,44.5%,3.5435069249614877,https://leetcode.com/problems/min-stack
Amazon,48,Rotate Image,Medium,56.7%,3.5414589493287463,https://leetcode.com/problems/rotate-image
Amazon,236,Lowest Common Ancestor of a Binary Tree,Medium,45.7%,3.5247783696000754,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
Amazon,238,Product of Array Except Self,Medium,60.1%,3.514882900018146,https://leetcode.com/problems/product-of-array-except-self
Amazon,212,Word Search II,Hard,34.9%,3.4837901561793956,https://leetcode.com/problems/word-search-ii
Amazon,12,Integer to Roman,Medium,55.1%,3.4609849174972926,https://leetcode.com/problems/integer-to-roman
Amazon,239,Sliding Window Maximum,Hard,43.0%,3.433795326058728,https://leetcode.com/problems/sliding-window-maximum
Amazon,269,Alien Dictionary,Hard,33.3%,3.377668409524585,https://leetcode.com/problems/alien-dictionary
Amazon,460,LFU Cache,Hard,34.2%,3.3776519095965654,https://leetcode.com/problems/lfu-cache
Amazon,15,3Sum,Medium,26.8%,3.3710842155526985,https://leetcode.com/problems/3sum
Amazon,33,Search in Rotated Sorted Array,Medium,34.5%,3.3666485807729396,https://leetcode.com/problems/search-in-rotated-sorted-array
Amazon,675,Cut Off Trees for Golf Event,Hard,34.6%,3.36225540086527,https://leetcode.com/problems/cut-off-trees-for-golf-event
Amazon,588,Design In-Memory File System,Hard,45.9%,3.360532016478895,https://leetcode.com/problems/design-in-memory-file-system
Amazon,909,Snakes and Ladders,Medium,38.4%,3.343741372618161,https://leetcode.com/problems/snakes-and-ladders
Amazon,165,Compare Version Numbers,Medium,27.4%,3.2759201587167275,https://leetcode.com/problems/compare-version-numbers
Amazon,56,Merge Intervals,Medium,39.3%,3.274551916823998,https://leetcode.com/problems/merge-intervals
Amazon,380,Insert Delete GetRandom O(1),Medium,47.5%,3.264575909538694,https://leetcode.com/problems/insert-delete-getrandom-o1
Amazon,53,Maximum Subarray,Easy,46.5%,3.2518398869431175,https://leetcode.com/problems/maximum-subarray
Amazon,49,Group Anagrams,Medium,56.9%,3.2464298158187788,https://leetcode.com/problems/group-anagrams
Amazon,545,Boundary of Binary Tree,Medium,38.9%,3.2370535533630154,https://leetcode.com/problems/boundary-of-binary-tree
Amazon,11,Container With Most Water,Medium,50.8%,3.1775832534023336,https://leetcode.com/problems/container-with-most-water
Amazon,76,Minimum Window Substring,Hard,34.6%,3.1730470473640895,https://leetcode.com/problems/minimum-window-substring
Amazon,54,Spiral Matrix,Medium,34.1%,3.1133021060526898,https://leetcode.com/problems/spiral-matrix
Amazon,1152,Analyze User Website Visit Pattern,Medium,43.5%,3.092908705843992,https://leetcode.com/problems/analyze-user-website-visit-pattern
Amazon,45,Jump Game II,Hard,30.6%,3.0792002097019933,https://leetcode.com/problems/jump-game-ii
Amazon,206,Reverse Linked List,Easy,62.5%,3.0671059105253646,https://leetcode.com/problems/reverse-linked-list
Amazon,1167,Minimum Cost to Connect Sticks,Medium,62.8%,3.0601766637553607,https://leetcode.com/problems/minimum-cost-to-connect-sticks
Amazon,277,Find the Celebrity,Medium,41.8%,2.94934502263689,https://leetcode.com/problems/find-the-celebrity
Amazon,124,Binary Tree Maximum Path Sum,Hard,34.3%,2.9289335381500554,https://leetcode.com/problems/binary-tree-maximum-path-sum
Amazon,322,Coin Change,Medium,35.5%,2.9225882870663615,https://leetcode.com/problems/coin-change
Amazon,863,All Nodes Distance K in Binary Tree,Medium,55.4%,2.8584437554191786,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
Amazon,694,Number of Distinct Islands,Medium,56.0%,2.8410258837930096,https://leetcode.com/problems/number-of-distinct-islands
Amazon,103,Binary Tree Zigzag Level Order Traversal,Medium,48.3%,2.828681880742103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
Amazon,733,Flood Fill,Easy,55.3%,2.79988479636092,https://leetcode.com/problems/flood-fill
Amazon,25,Reverse Nodes in k-Group,Hard,42.1%,2.7613797410092618,https://leetcode.com/problems/reverse-nodes-in-k-group
Amazon,341,Flatten Nested List Iterator,Medium,52.9%,2.754450954511437,https://leetcode.com/problems/flatten-nested-list-iterator
Amazon,98,Validate Binary Search Tree,Medium,27.8%,2.737334189986096,https://leetcode.com/problems/validate-binary-search-tree
Amazon,490,The Maze,Medium,51.4%,2.6684292618304393,https://leetcode.com/problems/the-maze
Amazon,208,Implement Trie (Prefix Tree),Medium,49.4%,2.65382797633134,https://leetcode.com/problems/implement-trie-prefix-tree
Amazon,535,Encode and Decode TinyURL,Medium,79.9%,2.648278198910626,https://leetcode.com/problems/encode-and-decode-tinyurl
Amazon,1268,Search Suggestions System,Medium,63.2%,2.6191388654944228,https://leetcode.com/problems/search-suggestions-system
Amazon,224,Basic Calculator,Hard,36.8%,2.6186476779233394,https://leetcode.com/problems/basic-calculator
Amazon,99,Recover Binary Search Tree,Hard,39.7%,2.5927917375731657,https://leetcode.com/problems/recover-binary-search-tree
Amazon,289,Game of Life,Medium,54.5%,2.5856365392630773,https://leetcode.com/problems/game-of-life
Amazon,438,Find All Anagrams in a String,Medium,43.3%,2.5722353072335498,https://leetcode.com/problems/find-all-anagrams-in-a-string
Amazon,116,Populating Next Right Pointers in Each Node,Medium,45.2%,2.57096386118438,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
Amazon,22,Generate Parentheses,Medium,62.7%,2.5685235165995333,https://leetcode.com/problems/generate-parentheses
Amazon,218,The Skyline Problem,Hard,34.6%,2.559475345285509,https://leetcode.com/problems/the-skyline-problem
Amazon,772,Basic Calculator III,Hard,41.3%,2.55813888845901,https://leetcode.com/problems/basic-calculator-iii
Amazon,314,Binary Tree Vertical Order Traversal,Medium,45.3%,2.550800170263845,https://leetcode.com/problems/binary-tree-vertical-order-traversal
Amazon,387,First Unique Character in a String,Easy,53.4%,2.54799745525127,https://leetcode.com/problems/first-unique-character-in-a-string
Amazon,105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,48.8%,2.5404024506810825,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
Amazon,215,Kth Largest Element in an Array,Medium,55.4%,2.5347978538534184,https://leetcode.com/problems/kth-largest-element-in-an-array
Amazon,102,Binary Tree Level Order Traversal,Medium,54.6%,2.5203331450038857,https://leetcode.com/problems/binary-tree-level-order-traversal
Amazon,207,Course Schedule,Medium,43.1%,2.503721648394562,https://leetcode.com/problems/course-schedule
Amazon,91,Decode Ways,Medium,24.7%,2.490602261668241,https://leetcode.com/problems/decode-ways
Amazon,140,Word Break II,Hard,32.6%,2.479095544790561,https://leetcode.com/problems/word-break-ii
Amazon,64,Minimum Path Sum,Medium,54.5%,2.4716559596617222,https://leetcode.com/problems/minimum-path-sum
Amazon,84,Largest Rectangle in Histogram,Hard,35.2%,2.4467234894421694,https://leetcode.com/problems/largest-rectangle-in-histogram
Amazon,866,Prime Palindrome,Medium,24.9%,2.426668322236189,https://leetcode.com/problems/prime-palindrome
Amazon,13,Roman to Integer,Easy,55.7%,2.416073231744048,https://leetcode.com/problems/roman-to-integer
Amazon,227,Basic Calculator II,Medium,36.9%,2.4100145835028153,https://leetcode.com/problems/basic-calculator-ii
Amazon,117,Populating Next Right Pointers in Each Node II,Medium,39.1%,2.3950274761670123,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
Amazon,505,The Maze II,Medium,47.7%,2.3775245123756745,https://leetcode.com/problems/the-maze-ii
Amazon,449,Serialize and Deserialize BST,Medium,52.0%,2.355719394696847,https://leetcode.com/problems/serialize-and-deserialize-bst
Amazon,55,Jump Game,Medium,34.6%,2.354033209232933,https://leetcode.com/problems/jump-game
Amazon,695,Max Area of Island,Medium,62.7%,2.3328594765055053,https://leetcode.com/problems/max-area-of-island
Amazon,362,Design Hit Counter,Medium,63.7%,2.3302202652283723,https://leetcode.com/problems/design-hit-counter
Amazon,235,Lowest Common Ancestor of a Binary Search Tree,Easy,49.9%,2.3282029797125845,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
Amazon,93,Restore IP Addresses,Medium,35.6%,2.3249869771549077,https://leetcode.com/problems/restore-ip-addresses
Amazon,1000,Minimum Cost to Merge Stones,Hard,39.8%,2.285269832848969,https://leetcode.com/problems/minimum-cost-to-merge-stones
Amazon,74,Search a 2D Matrix,Medium,36.5%,2.2752799670533843,https://leetcode.com/problems/search-a-2d-matrix
Amazon,8,String to Integer (atoi),Medium,15.4%,2.240034398814754,https://leetcode.com/problems/string-to-integer-atoi
Amazon,1102,Path With Maximum Minimum Value,Medium,49.2%,2.236364097993119,https://leetcode.com/problems/path-with-maximum-minimum-value
Amazon,221,Maximal Square,Medium,37.7%,2.2359845035549557,https://leetcode.com/problems/maximal-square
Amazon,543,Diameter of Binary Tree,Easy,48.4%,2.2300472912033396,https://leetcode.com/problems/diameter-of-binary-tree
Amazon,101,Symmetric Tree,Easy,46.8%,2.218229616099434,https://leetcode.com/problems/symmetric-tree
Amazon,711,Number of Distinct Islands II,Hard,47.3%,2.1972245773362196,https://leetcode.com/problems/number-of-distinct-islands-ii
Amazon,173,Binary Search Tree Iterator,Medium,56.6%,2.1894746276945916,https://leetcode.com/problems/binary-search-tree-iterator
Amazon,445,Add Two Numbers II,Medium,54.5%,2.1695498551799988,https://leetcode.com/problems/add-two-numbers-ii
Amazon,143,Reorder List,Medium,37.1%,2.148764391721176,https://leetcode.com/problems/reorder-list
Amazon,31,Next Permutation,Medium,32.6%,2.1484244000997346,https://leetcode.com/problems/next-permutation
Amazon,134,Gas Station,Medium,38.5%,2.142566589871282,https://leetcode.com/problems/gas-station
Amazon,234,Palindrome Linked List,Easy,39.3%,2.134538085279358,https://leetcode.com/problems/palindrome-linked-list
Amazon,199,Binary Tree Right Side View,Medium,54.1%,2.1265239954461888,https://leetcode.com/problems/binary-tree-right-side-view
Amazon,72,Edit Distance,Hard,44.8%,2.121008287749178,https://leetcode.com/problems/edit-distance
Amazon,149,Max Points on a Line,Hard,16.9%,2.1126877423916333,https://leetcode.com/problems/max-points-on-a-line
Amazon,79,Word Search,Medium,35.6%,2.1111316640536213,https://leetcode.com/problems/word-search
Amazon,347,Top K Frequent Elements,Medium,61.2%,2.101870619522738,https://leetcode.com/problems/top-k-frequent-elements
Amazon,62,Unique Paths,Medium,54.1%,2.0850418565392053,https://leetcode.com/problems/unique-paths
Amazon,631,Design Excel Sum Formula,Hard,31.6%,2.0739919369122712,https://leetcode.com/problems/design-excel-sum-formula
Amazon,394,Decode String,Medium,50.0%,2.0663903647082917,https://leetcode.com/problems/decode-string
Amazon,353,Design Snake Game,Medium,34.2%,2.0643120655473823,https://leetcode.com/problems/design-snake-game
Amazon,384,Shuffle an Array,Medium,52.8%,2.051144428767012,https://leetcode.com/problems/shuffle-an-array
Amazon,323,Number of Connected Components in an Undirected Graph,Medium,56.0%,2.0420691989817303,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
