ID,Title,Difficulty,Acceptance,Companies,CompanyCount,AvgFrequency,LeetCodeLink
1,Two Sum,Easy,45.6%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Samsung, Spotify, Uber, X",14,2.26,https://leetcode.com/problems/two-sum
146,LRU Cache,Medium,33.2%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Spotify, Uber, X",13,2.112,https://leetcode.com/problems/lru-cache
200,Number of Islands,Medium,46.8%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Spotify, Uber, X",13,1.989,https://leetcode.com/problems/number-of-islands
20,Valid Parentheses,Easy,39.0%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Samsung, Spotify, Uber, X",13,1.478,https://leetcode.com/problems/valid-parentheses
56,Merge Intervals,Medium,39.3%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Netflix, Oracle, Uber, X",12,1.887,https://leetcode.com/problems/merge-intervals
23,Merge k Sorted Lists,Hard,40.2%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Uber, X",12,1.881,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,Medium,34.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Samsung, Uber",12,1.453,https://leetcode.com/problems/search-in-rotated-sorted-array
206,Reverse Linked List,Easy,62.5%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Nvidia, Oracle, Spotify, Uber, X",12,1.14,https://leetcode.com/problems/reverse-linked-list
706,Design HashMap,Easy,61.3%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Uber, X",12,0.477,https://leetcode.com/problems/design-hashmap
42,Trapping Rain Water,Hard,48.9%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Nvidia, Oracle, Uber, X",11,2.121,https://leetcode.com/problems/trapping-rain-water
76,Minimum Window Substring,Hard,34.6%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber, X",11,1.856,https://leetcode.com/problems/minimum-window-substring
53,Maximum Subarray,Easy,46.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Uber",11,1.618,https://leetcode.com/problems/maximum-subarray
380,Insert Delete GetRandom O(1),Medium,47.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber, X",11,1.542,https://leetcode.com/problems/insert-delete-getrandom-o1
3,Longest Substring Without Repeating Characters,Medium,30.4%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Samsung, Spotify, Uber",11,1.426,https://leetcode.com/problems/longest-substring-without-repeating-characters
21,Merge Two Sorted Lists,Easy,53.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Samsung, Uber",11,1.347,https://leetcode.com/problems/merge-two-sorted-lists
215,Kth Largest Element in an Array,Medium,55.4%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Spotify, Uber",11,1.31,https://leetcode.com/problems/kth-largest-element-in-an-array
127,Word Ladder,Medium,29.6%,"Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Samsung, Spotify, Uber",11,1.291,https://leetcode.com/problems/word-ladder
57,Insert Interval,Hard,33.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber, X",11,1.256,https://leetcode.com/problems/insert-interval
295,Find Median from Data Stream,Hard,44.3%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Netflix, Oracle, Uber, X",11,1.24,https://leetcode.com/problems/find-median-from-data-stream
88,Merge Sorted Array,Easy,39.4%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Netflix, Oracle, Uber",11,1.179,https://leetcode.com/problems/merge-sorted-array
8,String to Integer (atoi),Medium,15.4%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Uber",11,1.126,https://leetcode.com/problems/string-to-integer-atoi
22,Generate Parentheses,Medium,62.7%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Nvidia, Samsung, Spotify, Uber",11,1.037,https://leetcode.com/problems/generate-parentheses
155,Min Stack,Easy,44.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Netflix, Oracle, Uber",11,0.795,https://leetcode.com/problems/min-stack
101,Symmetric Tree,Easy,46.8%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber, X",11,0.503,https://leetcode.com/problems/symmetric-tree
981,Time Based Key-Value Store,Medium,53.1%,"Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Netflix, Oracle, Uber, X",11,0.451,https://leetcode.com/problems/time-based-key-value-store
70,Climbing Stairs,Easy,47.8%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Nvidia, Oracle, Uber",11,0.321,https://leetcode.com/problems/climbing-stairs
15,3Sum,Medium,26.8%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Samsung, Uber",10,2.043,https://leetcode.com/problems/3sum
2,Add Two Numbers,Medium,33.9%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Nvidia, Oracle, Uber",10,1.988,https://leetcode.com/problems/add-two-numbers
10,Regular Expression Matching,Hard,26.8%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Uber, X",10,1.987,https://leetcode.com/problems/regular-expression-matching
341,Flatten Nested List Iterator,Medium,52.9%,"Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber, X",10,1.972,https://leetcode.com/problems/flatten-nested-list-iterator
238,Product of Array Except Self,Medium,60.1%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.82,https://leetcode.com/problems/product-of-array-except-self
5,Longest Palindromic Substring,Medium,29.5%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Samsung, Uber",10,1.745,https://leetcode.com/problems/longest-palindromic-substring
139,Word Break,Medium,40.1%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Uber, X",10,1.672,https://leetcode.com/problems/word-break
91,Decode Ways,Medium,24.7%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Uber, X",10,1.632,https://leetcode.com/problems/decode-ways
236,Lowest Common Ancestor of a Binary Tree,Medium,45.7%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.604,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
121,Best Time to Buy and Sell Stock,Easy,50.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.603,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
54,Spiral Matrix,Medium,34.1%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.479,https://leetcode.com/problems/spiral-matrix
98,Validate Binary Search Tree,Medium,27.8%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.366,https://leetcode.com/problems/validate-binary-search-tree
560,Subarray Sum Equals K,Medium,43.9%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.325,https://leetcode.com/problems/subarray-sum-equals-k
239,Sliding Window Maximum,Hard,43.0%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Uber, X",10,1.251,https://leetcode.com/problems/sliding-window-maximum
13,Roman to Integer,Easy,55.7%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.231,https://leetcode.com/problems/roman-to-integer
34,Find First and Last Position of Element in Sorted Array,Medium,36.2%,"Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Netflix, Oracle, Uber",10,1.177,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
125,Valid Palindrome,Easy,36.7%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.152,https://leetcode.com/problems/valid-palindrome
32,Longest Valid Parentheses,Hard,28.4%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Oracle, Samsung, Uber",10,1.033,https://leetcode.com/problems/longest-valid-parentheses
46,Permutations,Medium,63.5%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, Uber",10,1.027,https://leetcode.com/problems/permutations
12,Integer to Roman,Medium,55.1%,"Adobe, Amazon, Apple, Facebook, Google, LinkedIn, Meta, Microsoft, Oracle, X",10,0.995,https://leetcode.com/problems/integer-to-roman
199,Binary Tree Right Side View,Medium,54.1%,"Adobe, Amazon, Apple, Facebook, Google, Meta, Microsoft, Nvidia, Oracle, Uber",10,0.987,https://leetcode.com/problems/binary-tree-right-side-view
